State,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Minnesota,1.15,1.15,1.15,1.15,1.6,1.6,1.6,1.6,1.8,1.8,1.8,2.3,2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.5,3.5,3.5,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,8,9,9.5,9.5
Mississippi,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Missouri,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,6.65,7.05,7.25,7.25,7.25,7.35,7.5,7.65,7.65,7.7
Montana,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.8,1.8,1.8,2,2,2,2,2,2,2,2,2,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.25,6.9,7.25,7.35,7.65,7.8,7.9,8.05,8.05,8.15
Nebraska,1,1,1,1,1,1,1,1,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,3.35,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8,9,9
Nevada,1.25,1.25,1.3,1.3,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.33,6.85,7.55,8.25,8.25,8.25,8.25,8.25,8.25,8.25
New Hampshire,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.55,3.55,3.55,3.85,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
New Jersey,1.4,1.4,1.5,1.5,1.5,1.5,1.5,1.5,2.2,2.2,2.2,2.5,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,5.05,5.05,5.05,5.05,5.05,5.05,5.15,5.15,5.15,5.15,5.15,5.15,6.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.44
New Mexico,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2,2,2,2.3,2.65,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.35,3.35,3.35,3.35,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5
New York,1.6,1.6,1.6,1.6,1.85,1.85,1.85,1.85,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6,6.75,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8,8.75,9,9.7
North Carolina,1,1,1.25,1.25,1.45,1.45,1.45,1.45,2,2,2,2.5,2.75,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.35,3.35,3.35,3.35,3.8,3.8,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
North Dakota,1.25,1.25,1.45,1.45,1.45,1.45,1.45,1.45,2.3,2.3,2.3,2.3,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.4,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.6,1.6,1.6,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,6.85,7,7.3,7.3,7.4,7.7,7.85,7.95,8.1,8.1,8.15
Oklahoma,1,1,1,1,1.4,1.4,1.4,1.4,1.8,1.8,1.8,2,2,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Oregon,1.25,1.25,1.25,1.25,1.25,1.25,1.25,1.25,2.3,2.3,2.3,2.3,2.9,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.35,3.35,3.35,4.75,4.75,4.75,4.75,4.75,4.75,5.5,6,6,6.5,6.5,6.5,6.9,7.05,7.25,7.5,7.8,7.95,8.4,8.4,8.5,8.8,8.95,9.1,9.25,9.75,9.75
Pennsylvania,1.15,1.15,1.3,1.3,1.6,1.6,1.6,1.6,2.2,2.2,2.2,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,7.15,7.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Rhode Island,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.3,2.65,2.9,2.9,2.9,2.9,2.9,2.9,2.9,3.65,3.65,3.65,4.25,4.45,4.45,4.45,4.45,4.45,5.15,5.15,5.15,5.65,6.15,6.15,6.15,6.75,6.75,6.75,7.4,7.4,7.4,7.4,7.4,7.4,7.75,8,9,9.6,9.6
South Carolina,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
South Dakota,1.6,1.6,1,1,1,1,1,1,2,2,2,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.8,2.8,2.8,3.8,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.5,8.55,8.65
Tennessee,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Texas,1.6,1.6,1.6,1.6,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Utah,1.15,1.15,1.15,1.15,1.35,1.35,1.35,1.35,1.7,1.7,1.7,2.45,2.6,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.8,4.25,4.25,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,1.4,1.4,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.9,3.1,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.55,3.55,3.55,3.85,4.25,4.25,4.25,4.25,4.75,5,5.25,5.25,5.75,6.25,6.25,6.25,6.75,7,7.25,7.53,7.68,8.06,8.06,8.15,8.46,8.6,8.73,9.15,9.6,10
Virginia,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2,2,2,2.35,2.35,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.65,3.65,3.65,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Washington,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,4.25,4.25,4.25,4.25,4.25,4.9,4.9,4.9,4.9,6.5,6.72,6.9,7.01,7.16,7.35,7.63,7.93,8.07,8.55,8.55,8.67,9.04,9.19,9.32,9.47,9.47,11
West Virginia,1,1,1,1,1.2,1.2,1.2,1.2,2,2,2,2.2,2.2,2.75,2.75,2.75,2.75,2.75,2.75,2.75,3.35,3.35,3.35,3.35,3.8,3.8,4.25,4.25,4.25,4.25,4.75,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,8,8.75,8.75
Wisconsin,1.25,1.25,1.3,1.3,1.45,1.45,1.45,1.45,2.1,2.1,2.1,2.8,3,3.25,3.25,3.25,3.25,3.25,3.25,3.25,3.35,3.35,3.35,3.8,3.8,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.7,6.5,6.5,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,1.2,1.2,1.3,1.3,1.5,1.5,1.5,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
